id;model;car_owner_name;year_of_car;color;category
1;San deposit Berkshire;facilitate Towels;2021-05-21T22:23:05;pink;BC
2;cross-media architect Haiti;Right-sized;2021-05-22T00:42:54;turquoise;C
3;Salvador parse;Cambridgeshire;2021-05-21T09:41:57;white;BC
4;port;Ghana parsing 24;2021-05-22T03:55:48;teal;B
5;input Plastic;Designer salmon;2021-05-22T00:59:33;orchid;BC
6;Sausages;program;2021-05-21T09:20:16;black;D
7;Avon Group algorithm;Glens synthesizing Practical;2021-05-21T14:00:32;violet;E
8;gold;Granite;2021-05-21T13:01:59;azure;C
9;Nakfa Baht;Loan;2021-05-21T16:21:35;black;B
10;Automotive National;Central Officer optical;2021-05-22T01:21:28;yellow;BC
