id;name;category;begin_driving_date;start_date;end_date;telegram_group_link;status
1;Tunisian payment;BC;2021-05-21T15:00:28;2021-05-21T09:30:50;2021-05-21T21:43:50;explicit white;END_LESSONS
2;info-mediaries matrix disintermediate;C;2021-05-21T14:04:20;2021-05-21T23:15:48;2021-05-21T22:44:14;Industrial;SEARCH_STUDENTS
3;navigate Tasty client-driven;BC;2021-05-21T10:15:58;2021-05-21T13:12:36;2021-05-21T11:10:44;Gorgeous Centers deposit;BEGIN_LESSONS
4;back-end Steel;D;2021-05-21T10:25:45;2021-05-22T02:02:39;2021-05-21T18:21:57;protocol Tuna Wyoming;BEGIN_LESSONS
5;e-services Practical;BC;2021-05-22T02:57:03;2021-05-21T23:19:20;2021-05-21T11:22:23;invoice;SEARCH_STUDENTS
6;Steel Intranet;C;2021-05-21T12:29:23;2021-05-21T20:35:35;2021-05-21T09:47:57;sexy Concrete;END_LESSONS
7;Cotton harness;E;2021-05-22T03:02:30;2021-05-22T01:46:14;2021-05-21T14:51:15;Reduced;END_LESSONS
8;Representative;D;2021-05-21T13:15:01;2021-05-22T00:09:15;2021-05-22T01:17:19;cyan;SEARCH_STUDENTS
9;invoice compelling Metal;BC;2021-05-21T09:12:51;2021-05-22T02:18:28;2021-05-21T09:52:24;Orchestrator;BEGIN_LESSONS
10;needs-based Refined;E;2021-05-21T22:34:36;2021-05-22T00:40:11;2021-05-21T07:27:56;JSON Handcrafted Leone;SEARCH_STUDENTS
